study_id,species,strain,sex,drug,drug_delivery_mode,route_of_delivery,drug_delivery_location,dose,unit,time_of_administration,number_of_doses,outcome_measure,time_of_assessment,blinded_assessment_of_infarct_volume,blinded_induction_of_ischaemia,random_allocation,sample_size_calculation,use_of_comorbid_animals,animal_welfare_compliance,statement_of_potential_coi,duration_of_ischaemia,type_of_ischaemia,anaesthetic,method_of_mcao,control_group_mean,treatment_group_mean,control_group_n,treatment_group_n,control_group_calc_n,treatment_groups_per_control,control_group_sd,treatment_group_sd
Relton 1992a,Rat,Sprague dawley,Male,IL-1RA,Protein,ICerebVentricular,Central,20,µg,-30,Multiple,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,84.7,42.1,12,12,12,1,41.22280922,27.0199926
Betz 1995a,Rat,Sprague dawley,Unknown,IL-1RA,Vector,ICerebVentricular,Central,9.1,ng/g,-7200,Continuous,Infarct Volume,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1380,Permanent,Isoflurane,Intraluminal filament/suture,126,46,6,6,6,1,36,53
Garcia 1995a,Rat,Wistar,Male,IL-1RA,Protein,IVenous,Peripheral,400,mg/kg,0,Multiple,Infarct Volume,168,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10080,Permanent,Ketamine,Intraluminal filament/suture,35,12.5,6,6,6,1,9.38,13.56
Garcia 1995b,Rat,Wistar,Male,IL-1RA,Protein,IVenous,Peripheral,400,mg/kg,0,Multiple,Infarct Volume,24,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1440,Permanent,Ketamine,Intraluminal filament/suture,25,14.75,5,6,5,1,8.13,11.38
Loddick 1996a,Rat,Sprague dawley,Male,IL-1RA,Protein,ICerebVentricular,Central,10,µg,0,Single,Infarct Volume,168,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10080,Permanent,Halothane,electrocoagulation,100,47.91,8,8,8,1,0,32.86632319
Relton 1996a,Rat,Sprague dawley,Male,IL-1RA,Protein,IVenous,Peripheral,250,mg/kg,0,Multiple,Infarct Volume,24,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,74.23,60.79,54,13,13.5,4,34.02341253,37.3174557
Loddick 1996b,Rat,Sprague dawley,Male,IL-1RA,Protein,ICerebVentricular,Central,20,µg,-30,Multiple,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,100,47.37,8,7,8,1,0,49.71366713
Relton 1996b,Rat,Sprague dawley,Male,IL-1RA,Protein,IVenous,Peripheral,500,mg/kg,0,Multiple,Infarct Volume,24,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,74.23,39.43,54,13,13.5,4,34.02341253,29.3852429
Loddick 1996c,Rat,Sprague dawley,Male,IL-1RA,Protein,ICerebVentricular,Central,10,µg,0,Single,Infarct Volume,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,100,46.3,8,8,8,1,0,25.34270704
Relton 1996c,Rat,Sprague dawley,Male,IL-1RA,Protein,IVenous,Peripheral,1000,mg/kg,0,Multiple,Infarct Volume,24,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1440,Permanent,Halothane,electrocoagulation,74.23,79.07,54,13,13.5,4,34.02341253,65.11625603
